title,authors,abstract_url,source
Diverging Preferences: When do Annotators Disagree and do Models Know?,"Michael JQ Zhang, Zhilin Wang, Jena D. Hwang, Yi Dong, Olivier Delalleau, Yejin Choi, Eunsol Choi, Xiang Ren, Valentina Pyatkin","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Zhang,+M+J",arXiv
On the Regularization of Learnable Embeddings for Time Series Processing,"Luca Butera, Giovanni De Felice, Andrea Cini, Cesare Alippi","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Butera,+L",arXiv
SIMformer: Single-Layer Vanilla Transformer Can Learn Free-Space Trajectory Similarity,"Chuang Yang, Renhe Jiang, Xiaohang Xu, Chuan Xiao, Kaoru Sezaki","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Yang,+C",arXiv
CELI: Controller-Embedded Language Model Interactions,"Jan-Samuel Wagner, Dave DeCaprio, Abishek Chiffon Muthu Raja, Jonathan M. Holman, Lauren K. Brady, Sky C. Cheung, Hosein Barzekar, Eric Yang, Mark Anthony Martinez II, David Soong, Sriram Sridhar, Han Si, Brandon W. Higgs, Hisham Hamadeh, Scott Ogden","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Wagner,+J",arXiv
You Shall Know a Tool by the Traces it Leaves: The Predictability of Sentiment Analysis Tools,"Daniel Baumartz, Mevlüt Bagci, Alexander Henlein, Maxim Konca, Andy Lücking, Alexander Mehler","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Baumartz,+D",arXiv
Enhancing AI Accessibility in Veterinary Medicine: Linking Classifiers and Electronic Health Records,"Chun Yin Kong, Picasso Vasquez, Makan Farhoodimoghadam, Chris Brandt, Titus C. Brown, Krystle L. Reagan, Allison Zwingenberger, Stefan M. Keller","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Kong,+C+Y",arXiv
Site-Specific Outdoor Propagation Assessment and Ray-Tracing Analysis for Wireless Digital Twins,"Morteza Ghaderi Aram, Hao Guo, Mingsheng Yin, Tommy Svensson","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Aram,+M+G",arXiv
IoT-Based Water Quality Monitoring System in Philippine Off-Grid Communities,"Jenny Vi Abrajano, Khavee Agustus Botangen, Jovith Nabua, Jenalyn Apanay, Chezalea Fay Peña","https://arxiv.orghttps://arxiv.org/search/eess?searchtype=author&query=Abrajano,+J+V",arXiv
On the Use of Proxies in Political Ad Targeting,"Piotr Sapiezynski, Levi Kaplan, Alan Mislove, Aleksandra Korolova","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Sapiezynski,+P",arXiv
Benchmarking Deep Reinforcement Learning for Navigation in Denied Sensor Environments,"Mariusz Wisniewski, Paraskevas Chatzithanos, Weisi Guo, Antonios Tsourdos","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Wisniewski,+M",arXiv
MultiOrg: A Multi-rater Organoid-detection Dataset,"Christina Bukas, Harshavardhan Subramanian, Fenja See, Carina Steinchen, Ivan Ezhov, Gowtham Boosarpu, Sara Asgharpour, Gerald Burgstaller, Mareike Lehmann, Florian Kofler, Marie Piraud","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Bukas,+C",arXiv
DiSCo Meets LLMs: A Unified Approach for Sparse Retrieval and Contextual Distillation in Conversational Search,"Simon Lupart, Mohammad Aliannejadi, Evangelos Kanoulas","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Lupart,+S",arXiv
Evaluating Privacy Measures in Healthcare Apps Predominantly Used by Older Adults,"Saka Suleiman, Sanchari Das","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Suleiman,+S",arXiv
